ident,elevation_meters,latitude,longitude,iata_code
00A,3.3528000000000002,40.070985,-74.933689,
00AA,1046.988,38.704022,-101.473911,
00AK,137.16,59.947733,-151.692524,
00AL,249.936,34.86479949951172,-86.77030181884766,
00AN,24.384,59.093287,-156.456699,
00AR,72.2376,35.6087,-91.254898,
00AS,335.28000000000003,34.9428028,-97.8180194,
00AZ,1161.288,34.305599212646484,-112.16500091552734,
00CA,925.9824000000001,35.35474,-116.885329,
00CL,26.5176,39.427188,-121.763427,
00CN,1021.08,32.7273736,-116.4597417,
00CO,1472.184,40.622202,-104.344002,
00FA,16.154400000000003,28.64550018310547,-82.21900177001953,
00FD,7.62,28.8466,-82.345398,
00FL,10.668000000000001,27.230899810791016,-80.96920013427734,
00GA,213.36,33.76750183105469,-84.06829833984375,
00GE,291.6936,33.887982,-84.736983,
00HI,13.1064,19.832881,-155.978347,
00ID,629.1072,48.145301818847656,-116.21399688720703,
00IG,1023.8232,39.724028,-101.395994,
00II,182.88,41.644501,-87.122803,
00IL,256.03200000000004,41.978401,-89.560402,
00IN,193.2432,41.51139831542969,-87.2605972290039,
00IS,249.936,40.02560043334961,-89.1229019165039,
00KS,335.28000000000003,38.72779846191406,-94.93049621582031,
00KY,385.572,37.409400939941406,-84.61969757080078,
00LA,4.572,30.191944,-90.980833,
00LL,182.88,39.66529846191406,-89.70559692382812,
00LS,3.6576000000000004,30.136299,-92.429398,
00MD,13.716000000000001,38.75709915161133,-75.75379943847656,
00MI,179.22240000000002,43.94940185546875,-86.41670227050781,
00MN,416.052,46.29999923706055,-95.70030212402344,
00MO,295.656,37.202800750732,-94.412399291992,
00MT,1360.932,45.675,-110.52515,
00N,32.004000000000005,39.472998,-75.184346,
00NC,106.0704,36.085201263427734,-78.37139892578125,
00NJ,23.7744,40.52090072631836,-74.47460174560547,
00NK,29.260800000000003,44.8118612,-73.3698057,
00NR,2.4384,35.594729,-75.470002,
00NY,304.8,42.89576,-77.495263,
00OH,239.268,41.590476,-84.141583,
00OI,275.844,39.745091,-84.187278,
00OK,292.608,36.198598,-96.217693,
00OR,59.436,44.932899475097656,-123.12999725341797,
00PA,122.5296,39.94889831542969,-75.74690246582031,
00PN,396.5448,41.2995,-80.211111,
00PS,248.412,40.3778,-77.365303,
00S,493.776,44.181466,-122.086,
00SC,45.72,34.0093994140625,-80.26719665527344,
00SD,484.632,44.809158,-96.498897,
00TA,182.2704,32.8269,-97.305801,
00TE,182.88,32.847599029541016,-97.18949890136719,
00TN,335.28000000000003,35.515618,-85.954256,
00TS,204.216,32.607601165771484,-97.24199676513672,
00TT,534.0096,34.516606,-99.93694,
00TX,5.7912,29.7377,-94.980201,
